Model Name,Params,Timesteps,Average Step Time,Average Rewards (Step),Reward Variance (Step),Average Rewards (Episode),Average Observations Per Episode,Success Rate,Result Folder,Actor Loss,Critic Loss,KL Divergence
ExampleModel,"{'gamma': 0.99, 'learning_rate': 0.001}",2,0.019,11.0,1.0,37.0,100.0,1.0,results/ExampleModel_20241229_141641,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01}",0,0.0,0.0,0.0,-1446.603788511632,200.0,0.0,results/TRPO_20241229_142741,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01}",0,0.0,0.0,0.0,-1307.1921296903245,200.0,1.0,results/TRPO_20241229_143552,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1567.8589097678473,200.0,1.0,results/TRPO_20241229_144051,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1160.4450516170896,200.0,1.0,results/TRPO_20241229_144118,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1237.0331477070397,200.0,1.0,results/TRPO_20241229_144211,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1387.490851590676,200.0,1.0,results/TRPO_20241229_144224,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1180.0576211547443,200.0,1.0,results/TRPO_20241229_144249,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1645.3420907580871,200.0,1.0,results/TRPO_20241229_144947,,,
TRPO,"{'gamma': 0.99, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1491.7717738621309,200.0,1.0,results/TRPO_20241229_145223,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1198.4826227416015,200.0,1.0,results/TRPO_20241229_150124,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1263.7847465570048,200.0,1.0,results/TRPO_20241229_150133,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1382.0681188749834,200.0,1.0,results/TRPO_20241229_150142,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1276.2569571097456,200.0,1.0,results/TRPO_20241229_150151,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1192.2953119167296,200.0,1.0,results/TRPO_20241229_150159,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1197.3739326283326,200.0,1.0,results/TRPO_20241229_150208,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1245.665231088517,200.0,1.0,results/TRPO_20241229_150219,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1304.185671097854,200.0,1.0,results/TRPO_20241229_150231,,,
TRPO,"{'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1187.8962714602942,200.0,1.0,results/TRPO_20241229_150240,,,
TRPO,"{'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1675.8439226427338,200.0,1.0,results/TRPO_20241229_150248,,,
TRPO,"{'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1209.8927052831195,200.0,1.0,results/TRPO_20241229_150257,,,
TRPO,"{'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1512.6220808888957,200.0,1.0,results/TRPO_20241229_150307,,,
TRPO,"{'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1412.7219888827144,200.0,1.0,results/TRPO_20241229_150315,,,
TRPO,"{'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1220.9518951855594,200.0,1.0,results/TRPO_20241229_150324,,,
TRPO,"{'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.0001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1199.4111289594116,200.0,1.0,results/TRPO_20241229_150333,,,
TRPO,"{'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.0001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1146.397547670074,200.0,1.0,results/TRPO_20241229_150342,,,
TRPO,"{'gamma': 0.99, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1200.1260042893884,200.0,1.0,results/TRPO_20241229_150350,,,
TRPO,"{'gamma': 0.99, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1251.0217194207178,200.0,1.0,results/TRPO_20241229_150359,,,
TRPO,"{'gamma': 0.99, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1407.8251967236165,200.0,1.0,results/TRPO_20241229_150408,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'entropy_coeff': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1227.640943103843,200.0,1.0,results/EnTRPO_20241229_150512,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'entropy_coeff': 0.001, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1155.941019353184,200.0,1.0,results/EnTRPO_20241229_150520,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'entropy_coeff': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1487.2313373919758,200.0,1.0,results/EnTRPO_20241229_150528,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'entropy_coeff': 0.001, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1288.8862385327143,200.0,1.0,results/EnTRPO_20241229_150537,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'entropy_coeff': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1156.3378520489537,200.0,1.0,results/EnTRPO_20241229_150547,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'entropy_coeff': 0.001, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1358.5683005913572,200.0,1.0,results/EnTRPO_20241229_150600,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'entropy_coeff': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1521.636870614699,200.0,1.0,results/EnTRPO_20241229_150611,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'entropy_coeff': 0.001, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1380.3741612529393,200.0,1.0,results/EnTRPO_20241229_150620,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'entropy_coeff': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1217.9041773283632,200.0,1.0,results/EnTRPO_20241229_150628,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'entropy_coeff': 0.001, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1288.6401099550917,200.0,1.0,results/EnTRPO_20241229_150637,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'entropy_coeff': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1661.9471849514443,200.0,1.0,results/EnTRPO_20241229_150645,,,
EnTRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'entropy_coeff': 0.001, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1240.7492329599916,200.0,1.0,results/EnTRPO_20241229_150653,,,
TRPO,"{'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1559.117535680149,200.0,1.0,results/TRPO_20241229_151638,,,
